hhid,land_total_acres,land_cultivated_acres,maize_harvest_qty,maize_unit,livestock_owned,livestock_types,usedom,climate_info_received,hh_head_gender,hh_size_total,hh_head_education,latitude,longitude,orgfert_quantity_2024,maize_harvest_qty_kg,climate_info_received_std,maize_yield_ton_acre
409,2.5,0.5,1.5,90 Kg bag,Yes,Dairy cows Goats Poultry Sheep,Yes,Yes,Male,10,Primary,-0.152069274,34.957133,90 kg bag,135.0,Yes,0.27
398,2.0,1.0,15.0,90 Kg bag,Yes,Dairy cows Goats,Yes,Yes,Male,8,Secondary,-0.065601887,34.60318356,90 kg bag,1350.0,Yes,1.35
397,1.5,1.25,2.0,90 Kg bag,Yes,Poultry,No,Yes,Male,3,Diploma,-0.262379727,34.8561359,90 kg bag,180.0,Yes,0.14
395,3.0,2.0,28.0,90 Kg bag,Yes,Dairy cows Goats Sheep,Yes,Yes,Male,5,Certificate,0.09371704,34.5776137,90 kg bag,2520.0,Yes,1.26
389,0.25,0.25,5.0,90 Kg bag,Yes,Calves Dairy cows,No,Yes,Male,5,Certificate,0.072589516,34.68574717,90 kg bag,450.0,Yes,1.8
382,1.5,1.5,3.0,90 Kg bag,Yes,Dairy cows Goats,No,No,Male,4,Secondary,0.142677371,34.82597436,90 kg bag,270.0,No,0.18
370,1.0,0.5,2.0,90 Kg bag,Yes,Dairy cows Trained oxen for ploughing,Yes,Yes,Male,6,Postgraduate degree,-0.358320361,34.70890244,90 kg bag,180.0,Yes,0.36
369,1.0,0.5,5.0,90 Kg bag,Yes,Poultry,Yes,Yes,Male,6,Secondary,0.062223944,34.62262696,90 kg bag,450.0,Yes,0.9
361,10.0,8.0,7.0,90 Kg bag,Yes,Dairy cows,No,Yes,Male,7,Certificate,-0.267779635,34.69932775,90 kg bag,630.0,Yes,0.08
358,7.0,5.5,23.0,90 Kg bag,Yes,Dairy cows Goats,Yes,Yes,Male,9,Certificate,-0.203124244,34.78200404,90 kg bag,2070.0,Yes,0.38
354,1.5,1.0394466240281455,7.0,90 Kg bag,Yes,Dairy cows Poultry,Yes,Yes,Male,7,Primary,0.149884354,34.68435028,90 kg bag,630.0,Yes,0.61
342,6.0,5.0,12.0,90 Kg bag,Yes,Goats Poultry,Yes,Yes,Male,8,Certificate,-0.245462757,34.79692649,90 kg bag,1080.0,Yes,0.22
337,2.0,1.0,3.0,90 Kg bag,Yes,Poultry,Yes,Yes,Female,2,Secondary,-0.132296402,34.6945271,90 kg bag,270.0,Yes,0.27
334,11.5,9.5,21.0,90 Kg bag,Yes,Goats,No,Yes,Male,7,Primary,-0.340004134,34.63855611,90 kg bag,1890.0,Yes,0.2
332,0.5,0.34648220800938184,20.0,Gorogoro (2 kg tin),Yes,Poultry,Yes,Yes,Male,4,Undergraduate degree,0.080895103,34.89202085,gorogoro (2 kg tin),40.0,Yes,0.12
326,0.5,0.4,2.0,90 Kg bag,Yes,Goats Sheep,No,Yes,Male,7,Primary,-0.020179315,34.69433233,90 kg bag,180.0,Yes,0.45
319,1.5,1.0,5.5,90 Kg bag,Yes,Dairy cows,Yes,Yes,Female,6,Secondary,-0.097967967,34.95384857,90 kg bag,495.0,Yes,0.5
318,1.0,0.5,45.0,Kilograms,Yes,Poultry,No,Yes,Male,7,Secondary,0.152898928,34.822934,kilograms,45.0,Yes,0.09
315,3.0,3.0,8.0,90 Kg bag,Yes,Beef cattle Poultry,Yes,No,Female,6,Secondary,-0.200536432,34.93616172,90 kg bag,720.0,No,0.24
304,7.0,3.0,20.0,90 Kg bag,Yes,Dairy cows Goats Sheep,Yes,Yes,Male,8,Secondary,0.062643322,34.70584354,90 kg bag,1800.0,Yes,0.6
303,1.0,0.5,7.0,90 Kg bag,No,Not_Applicable,No,Yes,Female,3,Certificate,0.064952645,34.61542226,90 kg bag,630.0,Yes,1.26
297,0.5,0.5,2.0,90 Kg bag,Yes,Poultry,No,No,Male,5,Secondary,-0.156871711,34.61150547,90 kg bag,180.0,No,0.36
294,0.25,0.17324110400469092,2.5,90 Kg bag,Yes,Dairy cows,Yes,Yes,Male,7,Secondary,-0.198475046,34.63868439,90 kg bag,225.0,Yes,1.3
280,1.5,1.5,7.0,90 Kg bag,Yes,Beef cattle Sheep,Yes,No,Male,15,Secondary,0.024195513,34.74962843,90 kg bag,630.0,No,0.42
279,1.5,1.5,5.0,90 Kg bag,Yes,Dairy cows,Yes,Yes,Female,5,Primary,-0.195002333,34.61828109,90 kg bag,450.0,Yes,0.3
275,0.75,0.5197233120140727,7.0,90 Kg bag,Yes,Goats Other (specify),Yes,Yes,Male,10,Secondary,-0.172251663,34.49583984,90 kg bag,630.0,Yes,1.21
273,0.5,0.5,4.0,90 Kg bag,Yes,Goats,Yes,Yes,Male,5,Primary,-0.205393203,34.72524808,90 kg bag,360.0,Yes,0.72
270,2.0,0.5,3.5,90 Kg bag,Yes,Goats Sheep,Yes,no,Male,3,Diploma,-0.170866029,34.70883279,90 kg bag,315.0,No,0.63
269,1.25,1.0,18.0,90 Kg bag,Yes,Dairy cows,Yes,Yes,Male,4,Undergraduate degree,-0.127804905,34.85263887,90 kg bag,1620.0,Yes,1.62
265,0.25,0.25,10.0,Gorogoro (2 kg tin),Yes,Calves Dairy cows,Yes,Yes,Male,3,Primary,0.032842509,34.93286669,gorogoro (2 kg tin),20.0,Yes,0.08
262,3.0,2.0,2.0,90 Kg bag,Yes,Other (specify),Yes,No,Male,9,Secondary,0.104855307,34.70534818,90 kg bag,180.0,No,0.09
256,7.0,5.0,26.0,90 Kg bag,Yes,Dairy cows Goats Sheep,Yes,No,Male,7,Undergraduate degree,0.106475818,34.60760927,90 kg bag,2340.0,No,0.47
255,5.0,2.0,14.0,90 Kg bag,Yes,Dairy cows Goats,Yes,Yes,Male,3,Secondary,-0.183927144,34.54825779,90 kg bag,1260.0,Yes,0.63
249,4.0,1.0,8.0,90 Kg bag,Yes,Other (specify),Yes,Yes,Male,7,Secondary,-0.037268495,34.53218367,90 kg bag,720.0,Yes,0.72
246,2.0,1.0,3.0,90 Kg bag,No,Not_Applicable,Yes,Yes,Male,6,Secondary,0.090610127,34.7841435,90 kg bag,270.0,Yes,0.27
244,5.0,3.0,20.0,90 Kg bag,Yes,Goats Sheep,Yes,NO,Male,5,Diploma,-0.32115655,34.78461833,90 kg bag,1800.0,No,0.6
243,10.0,3.0,5.0,90 Kg bag,No,Not_Applicable,No,Yes,Male,20,Undergraduate degree,-0.089843069,34.5102146,90 kg bag,450.0,Yes,0.15
242,2.0,2.0,8.0,90 Kg bag,Yes,Dairy cows Goats,No,Yes,Male,4,Diploma,-0.052508684,34.98784071,90 kg bag,720.0,Yes,0.36
241,3.0,2.078893248056291,15.0,90 Kg bag,Yes,Poultry,No,N,Male,6,Diploma,-0.214472083,34.99683326,90 kg bag,1350.0,No,0.65
227,1.0,0.25,2.0,90 Kg bag,Yes,Dairy cows Poultry,Yes,Yes,Male,7,Certificate,-0.082192989,34.93163403,90 kg bag,180.0,Yes,0.72
224,2.0,1.0,3.0,90 Kg bag,Yes,Goats Poultry,No,Yes,Female,10,Undergraduate degree,-0.008425977,34.87177645,90 kg bag,270.0,Yes,0.27
222,2.5,2.0,8.0,90 Kg bag,Yes,Poultry Sheep,Yes,Yes,Male,5,Certificate,-0.252093701,34.8423839,90 kg bag,720.0,Yes,0.36
204,8.0,5.0,3.0,90 Kg bag,Yes,Dairy cows Goats Pigs,No,No,Male,4,Undergraduate degree,-0.126688935,34.76840104,90 kg bag,270.0,No,0.05
203,1.5,1.5,2.5,90 Kg bag,Yes,Goats Sheep,No,NO,Male,5,Secondary,-0.181928076,34.83898262,90 kg bag,225.0,No,0.15
199,0.75,0.5,1.5,90 Kg bag,Yes,Dairy cows,Yes,No,Male,4,Diploma,0.040373366,34.95653417,90 kg bag,135.0,No,0.27
195,2.5,2.0,24.0,90 Kg bag,Yes,Dairy cows,No,No,Male,6,Certificate,-0.019010805,34.85338992,90 kg bag,2160.0,No,1.08
188,3.0,2.0,4.0,90 Kg bag,No,Not_Applicable,No,Yes,Male,8,Certificate,-0.088795318,34.88520529,90 kg bag,360.0,Yes,0.18
187,1.5,1.0,2.0,90 Kg bag,Yes,Goats Sheep,Yes,No,Male,6,Diploma,-0.176333753,34.77001581,90 kg bag,180.0,No,0.18
181,1.5,1.5,4.0,90 Kg bag,Yes,Pigs Poultry,Yes,No,Male,8,Undergraduate degree,-0.116385273,34.88709406,90 kg bag,360.0,No,0.24
180,0.25,0.25,2.0,90 Kg bag,Yes,Beef cattle,Yes,Yes,Male,8,Secondary,0.042610229,34.57451189,90 kg bag,180.0,Yes,0.72
179,2.0,1.5,3.0,90 Kg bag,Yes,Poultry,No,Yes,Male,5,Diploma,0.136566065,34.824634,90 kg bag,270.0,Yes,0.18
176,1.0,1.0,2.0,90 Kg bag,Yes,Poultry,Yes,No,Female,8,Primary,-0.281799612,34.82170369,90 kg bag,180.0,No,0.18
175,2.0,1.0,5.0,90 Kg bag,Yes,Poultry,Yes,Yes,Male,2,Secondary,-0.05178009,34.59419681,90 kg bag,450.0,Yes,0.45
174,1.0,0.75,1.5,90 Kg bag,Yes,Goats,Yes,Yes,Male,8,Primary,-0.005834313,34.84691676,90 kg bag,135.0,Yes,0.18
172,0.75,0.5,2.5,50Kg bag,Yes,Other (specify),No,Yes,Male,15,Certificate,-0.186791699,34.72061205,50 kg bag,125.0,Yes,0.25
162,0.25,0.25,3.0,90 Kg bag,Yes,Beef cattle,Yes,Yes,Male,6,Undergraduate degree,-0.057208137,34.91623608,90 kg bag,270.0,Yes,1.08
160,0.25,0.25,5.0,90 Kg bag,Yes,Poultry,No,no,Female,6,Secondary,0.039849199,34.90056484,90 kg bag,450.0,No,1.8
156,0.25,0.25,2.0,90 Kg bag,No,Not_Applicable,Yes,Yes,Female,7,Primary,-0.100284707,34.62869468,90 kg bag,180.0,Yes,0.72
155,5.0,3.5,5.0,90 Kg bag,Yes,Dairy cows,Yes,Yes,Male,1,Secondary,0.04009123,34.64405983,90 kg bag,450.0,Yes,0.13
154,2.0,1.0,20.0,90 Kg bag,Yes,Beef cattle,Yes,Yes,Female,7,Secondary,-0.192179634,34.84344851,90 kg bag,1800.0,Yes,1.8
146,2.5,2.0,5.0,90 Kg bag,Yes,Beef cattle Poultry Sheep,Yes,No,Female,5,Primary,-0.200672249,34.58970385,90 kg bag,450.0,No,0.22
139,0.5,0.5,10.0,90 Kg bag,Yes,Dairy cows Poultry,No,Yes,Male,3,Certificate,0.030672797,34.84415757,90 kg bag,900.0,Yes,1.8
136,6.5,2.0,1.5,90 Kg bag,Yes,Poultry,No,Yes,Male,4,Primary,-0.26604624,34.89891344,90 kg bag,135.0,Yes,0.07
134,1.0,1.0,2.5,90 Kg bag,Yes,Dairy cows Poultry,Yes,Yes,Male,8,Certificate,-0.128255618,34.91721229,90 kg bag,225.0,Yes,0.22
131,0.25,0.17324110400469092,7.0,90 Kg bag,Yes,Goats Poultry,Yes,Yes,Male,5,Diploma,-0.039006495,34.60657595,90 kg bag,630.0,Yes,3.64
