hhid,orgfert_qty_2024_kg_total,orgfert_names_2024,orgfert_qty_2024_kg
6,800.0,Farmyard manure,800.0
8,790.0,"Compost, Compost","150.0, 640.0"
14,2200.0,"Compost, Farmyard manure","200.0, 2000.0"
15,2400.0,Compost,2400.0
18,1225.0,"Farmyard manure, Farmyard manure","625.0, 600.0"
27,3600.0,"Farmyard manure, Compost","1600.0, 2000.0"
29,1800.0,Farmyard manure,1800.0
30,20.0,Farmyard manure,20.0
36,4000.0,Farmyard manure,4000.0
38,2800.0,"Farmyard manure, Compost","800.0, 2000.0"
44,4000.0,Farmyard manure,4000.0
56,800.0,Compost,800.0
70,2800.0,"Farmyard manure, Farmyard manure","2000.0, 800.0"
77,3200.0,"Farmyard manure, Compost","1200.0, 2000.0"
80,600.0,Farmyard manure,600.0
82,6480.0,Poultry manure,6480.0
84,3600.0,"Compost, Compost","2800.0, 800.0"
86,140.0,Poultry manure,140.0
90,760.0,Farmyard manure,760.0
104,800.0,Farmyard manure,800.0
108,800.0,Compost,800.0
119,800.0,Farmyard manure,800.0
124,50.0,Compost,50.0
134,600.0,Farmyard manure,600.0
155,30800.0,"Farmyard manure, Compost","30000.0, 800.0"
156,800.0,Compost,800.0
172,1700.0,"Compost, Farmyard manure","1600.0, 100.0"
176,2000.0,Farmyard manure,2000.0
180,400.0,Farmyard manure,400.0
181,3660.0,Farmyard manure,3660.0
188,800.0,Compost,800.0
195,16800.0,"Farmyard manure, Farmyard manure","800.0, 16000.0"
199,48000.0,"Farmyard manure, Farmyard manure","20000.0, 28000.0"
204,4320.0,Poultry manure,4320.0
224,4000.0,Farmyard manure,4000.0
241,40000.0,Compost,40000.0
242,2000.0,Farmyard manure,2000.0
243,400.0,Compost,400.0
244,720.0,Compost,720.0
246,1000.0,Compost,1000.0
256,30000.0,Farmyard manure,30000.0
265,800.0,Compost,800.0
273,400.0,Farmyard manure,400.0
275,1250.0,Farmyard manure,1250.0
279,2080.0,Farmyard manure,2080.0
297,960.0,Farmyard manure,960.0
303,1600.0,Farmyard manure,1600.0
304,800.0,Farmyard manure,800.0
315,50.0,Farmyard manure,50.0
319,1200.0,Compost,1200.0
326,4800.0,Poultry manure,4800.0
337,6080.0,"Farmyard manure, Farmyard manure","2400.0, 3680.0"
342,600.0,Farmyard manure,600.0
354,2200.0,"Compost, Compost","600.0, 1600.0"
369,1600.0,Compost,1600.0
370,2200.0,"Farmyard manure, Farmyard manure","1000.0, 1200.0"
395,800.0,Farmyard manure,800.0
397,600.0,Farmyard manure,600.0
398,600.0,Farmyard manure,600.0
