hhid,land_total_acres,land_cultivated_acres,maize_harvest_qty_kg,maize_yield_ton_acre,orgfert_qty_2024_kg_total_std,livestock_owned_bin,hh_head_education_class,climate_info_received_num,latitude,longitude
409,2.5,0.5,135.0,0.27,1250.0,1,0,1,-0.152069274,34.957133
398,2.0,1.0,1350.0,1.35,600.0,1,1,1,-0.065601887,34.60318356
397,1.5,1.25,180.0,0.14,600.0,1,3,1,-0.262379727,34.8561359
395,3.0,2.0,2520.0,1.26,800.0,1,2,1,0.09371704,34.5776137
389,0.25,0.25,450.0,1.8,1250.0,1,2,1,0.072589516,34.68574717
382,1.5,1.5,270.0,0.18,1250.0,1,1,0,0.142677371,34.82597436
370,1.0,0.5,180.0,0.36,2200.0,1,5,1,-0.358320361,34.70890244
369,1.0,0.5,450.0,0.9,1600.0,1,1,1,0.062223944,34.62262696
361,10.0,8.0,630.0,0.08,1250.0,1,2,1,-0.267779635,34.69932775
358,7.0,5.5,2070.0,0.38,1250.0,1,2,1,-0.203124244,34.78200404
354,1.5,1.0394466240281457,630.0,0.61,2200.0,1,0,1,0.149884354,34.68435028
342,6.0,5.0,1080.0,0.22,600.0,1,2,1,-0.245462757,34.79692649
337,2.0,1.0,270.0,0.27,6080.0,1,1,1,-0.132296402,34.6945271
334,11.5,9.5,1890.0,0.2,1250.0,1,0,1,-0.340004134,34.63855611
332,0.5,0.3464822080093818,40.0,0.12,1250.0,1,4,1,0.080895103,34.89202085
326,0.5,0.4,180.0,0.45,4800.0,1,0,1,-0.020179315,34.69433233
319,1.5,1.0,495.0,0.5,1200.0,1,1,1,-0.097967967,34.95384857
318,1.0,0.5,45.0,0.09,1250.0,1,1,1,0.152898928,34.822934
315,3.0,3.0,720.0,0.24,50.0,1,1,0,-0.200536432,34.93616172
304,7.0,3.0,1800.0,0.6,800.0,1,1,1,0.062643322,34.70584354
303,1.0,0.5,630.0,1.26,1600.0,0,2,1,0.064952645,34.61542226
297,0.5,0.5,180.0,0.36,960.0,1,1,0,-0.156871711,34.61150547
294,0.25,0.1732411040046909,225.0,1.3,1250.0,1,1,1,-0.198475046,34.63868439
280,1.5,1.5,630.0,0.42,1250.0,1,1,0,0.024195513,34.74962843
279,1.5,1.5,450.0,0.3,2080.0,1,0,1,-0.195002333,34.61828109
275,0.75,0.5197233120140727,630.0,1.21,1250.0,1,1,1,-0.172251663,34.49583984
273,0.5,0.5,360.0,0.72,400.0,1,0,1,-0.205393203,34.72524808
270,2.0,0.5,315.0,0.63,1250.0,1,3,0,-0.170866029,34.70883279
269,1.25,1.0,1620.0,1.62,1250.0,1,4,1,-0.127804905,34.85263887
265,0.25,0.25,20.0,0.08,800.0,1,0,1,0.032842509,34.93286669
262,3.0,2.0,180.0,0.09,1250.0,1,1,0,0.104855307,34.70534818
256,7.0,5.0,2340.0,0.47,3000.0,1,4,0,0.106475818,34.60760927
255,5.0,2.0,1260.0,0.63,1250.0,1,1,1,-0.183927144,34.54825779
249,4.0,1.0,720.0,0.72,1250.0,1,1,1,-0.037268495,34.53218367
246,2.0,1.0,270.0,0.27,1000.0,0,1,1,0.090610127,34.7841435
244,5.0,3.0,1800.0,0.6,720.0,1,3,0,-0.32115655,34.78461833
243,10.0,3.0,450.0,0.15,400.0,0,4,1,-0.089843069,34.5102146
242,2.0,2.0,720.0,0.36,2000.0,1,3,1,-0.052508684,34.98784071
241,3.0,2.078893248056291,1350.0,0.65,4000.0,1,3,0,-0.214472083,34.99683326
227,1.0,0.25,180.0,0.72,1250.0,1,2,1,-0.082192989,34.93163403
224,2.0,1.0,270.0,0.27,4000.0,1,4,1,-0.008425977,34.87177645
222,2.5,2.0,720.0,0.36,1250.0,1,2,1,-0.252093701,34.8423839
204,8.0,5.0,270.0,0.05,4320.0,1,4,0,-0.126688935,34.76840104
203,1.5,1.5,225.0,0.15,1250.0,1,1,0,-0.181928076,34.83898262
199,0.75,0.5,135.0,0.27,4800.0,1,3,0,0.040373366,34.95653417
195,2.5,2.0,2160.0,1.08,2400.0,1,2,0,-0.019010805,34.85338992
188,3.0,2.0,360.0,0.18,800.0,0,2,1,-0.088795318,34.88520529
187,1.5,1.0,180.0,0.18,1250.0,1,3,0,-0.176333753,34.77001581
181,1.5,1.5,360.0,0.24,3660.0,1,4,0,-0.116385273,34.88709406
180,0.25,0.25,180.0,0.72,400.0,1,1,1,0.042610229,34.57451189
