"HHID","OrgFert_Name_2024","OrgFert_Quantity_2024","OrgFert_Unit_2024"
398,"Farmyard manure",15,"Wheelbarows"
397,"Farmyard manure",15,"Wheelbarows"
395,"Farmyard manure",20,"Wheelbarows"
370,"Farmyard manure",25,"Wheelbarows"
370,"Farmyard manure",30,"Wheelbarows"
369,"Compost",40,"Wheelbarows"
354,"Compost",15,"Wheelbarows"
354,"Compost",40,"Wheelbarows"
342,"Farmyard manure",15,"Wheelbarows"
337,"Farmyard manure",60,"Wheelbarows"
337,"Farmyard manure",92,"Wheelbarows"
326,"Poultry manure",120,"Wheelbarows"
319,"Compost",30,"Wheelbarows"
315,"Farmyard manure",50,"Kg"
304,"Farmyard manure",20,"Wheelbarows"
303,"Farmyard manure",40,"Wheelbarows"
297,"Farmyard manure",24,"Wheelbarows"
279,"Farmyard manure",52,"Wheelbarows"
275,"Farmyard manure",50,"25 Kg bag"
273,"Farmyard manure",20,"Bucket/Debe"
265,"Compost",20,"Wheelbarows"
256,"Farmyard manure",30,"Ton"
246,"Compost",25,"Wheelbarows"
244,"Compost",18,"Wheelbarows"
243,"Compost",20,"Bucket/Debe"
242,"Farmyard manure",50,"Wheelbarows"
241,"Compost",40,"Ton"
224,"Farmyard manure",100,"Wheelbarows"
204,"Poultry manure",48,"90 Kg bag"
199,"Farmyard manure",20,"Ton"
199,"Farmyard manure",28,"Ton"
195,"Farmyard manure",20,"Wheelbarows"
195,"Farmyard manure",400,"Wheelbarows"
188,"Compost",20,"Wheelbarows"
181,"Farmyard manure",183,"Bucket/Debe"
180,"Farmyard manure",20,"Bucket/Debe"
176,"Farmyard manure",50,"Wheelbarows"
172,"Compost",40,"Wheelbarows"
172,"Farmyard manure",100,"Kg"
156,"Compost",20,"Wheelbarows"
155,"Farmyard manure",30,"Ton"
155,"Compost",20,"Wheelbarows"
134,"Farmyard manure",15,"Wheelbarows"
124,"Compost",50,"Kg"
119,"Farmyard manure",20,"Wheelbarows"
108,"Compost",20,"Wheelbarows"
104,"Farmyard manure",20,"Wheelbarows"
90,"Farmyard manure",19,"Wheelbarows"
86,"Poultry manure",140,"Kg"
84,"Compost",70,"Wheelbarows"
84,"Compost",20,"Wheelbarows"
82,"Poultry manure",72,"90 Kg bag"
80,"Farmyard manure",15,"Wheelbarows"
77,"Farmyard manure",30,"Wheelbarows"
77,"Compost",100,"Bucket/Debe"
70,"Farmyard manure",50,"Wheelbarows"
70,"Farmyard manure",20,"Wheelbarows"
56,"Compost",20,"Wheelbarows"
44,"Farmyard manure",100,"Wheelbarows"
38,"Farmyard manure",20,"Wheelbarows"
38,"Compost",50,"Wheelbarows"
36,"Farmyard manure",100,"Wheelbarows"
30,"Farmyard manure",20,"Kg"
29,"Farmyard manure",20,"90 Kg bag"
27,"Farmyard manure",40,"Wheelbarows"
27,"Compost",50,"Wheelbarows"
18,"Farmyard manure",25,"25 Kg bag"
18,"Farmyard manure",15,"Wheelbarows"
15,"Compost",60,"Wheelbarows"
14,"Compost",200,"Kg"
14,"Farmyard manure",50,"Wheelbarows"
8,"Compost",150,"Kg"
8,"Compost",16,"Wheelbarows"
6,"Farmyard manure",20,"Wheelbarows"
6,"Farmyard manure",20,"Wheelbarows"
